"Path 1","Path 2","Path 3","Path 4","URLs","Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https/","","","","13","","","","","","","","","",""
"","mos2es.com/","","","13","https://mos2es.com/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/","",""
"","","field-sheet","","1","https://mos2es.com/field-sheet","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/field-sheet","",""
"","","resume","","1","https://mos2es.com/resume","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/resume","",""
"","","demovideo","","1","https://mos2es.com/demovideo","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/demovideo","",""
"","","press","","1","https://mos2es.com/press","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/press","",""
"","","legal","","1","https://mos2es.com/legal","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/legal","",""
"","","papers","","1","https://mos2es.com/papers","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/papers","",""
"","","deck","","1","https://mos2es.com/deck","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/deck","",""
"","","governance-vacuum","","1","https://mos2es.com/governance-vacuum","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/governance-vacuum","",""
"","","assets/","","1","","","","","","","","","",""
"","","","founder.jpg","1","https://mos2es.com/assets/founder.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"","","deck-stage.js","","1","https://mos2es.com/deck-stage.js","application/javascript; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","architecture","","1","https://mos2es.com/architecture","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://mos2es.com/architecture","",""
"","","benchmarks","","1","https://mos2es.com/benchmarks","","0","Connection Timeout","","Non-Indexable","No Response","","",""
